"","database_id","target_id","comparator_id","analysis_id","preference_score","target_density","comparator_density"
"1.1","CDMPv535_ABMI",3606,3610,1,0,0.000339634423006832,8.7252214165023e-14
"1.2","CDMPv535_ABMI",3606,3610,1,0.0101010101010101,0.00056593310006038,9.23283296497465e-13
"1.3","CDMPv535_ABMI",3606,3610,1,0.0202020202020202,0.000929063567363445,8.84381857737123e-12
"1.4","CDMPv535_ABMI",3606,3610,1,0.0303030303030303,0.00149779443773905,7.87251178598897e-11
"1.5","CDMPv535_ABMI",3606,3610,1,0.0404040404040404,0.00236911976325484,6.35601008671847e-10
"1.6","CDMPv535_ABMI",3606,3610,1,0.0505050505050505,0.00367906512992231,4.63755497289399e-09
"1.7","CDMPv535_ABMI",3606,3610,1,0.0606060606060606,0.00563108304615494,3.06546386640522e-08
"1.8","CDMPv535_ABMI",3606,3610,1,0.0707070707070707,0.008460119068795,1.83949247417601e-07
"1.9","CDMPv535_ABMI",3606,3610,1,0.0808080808080808,0.0124822796426019,1.00381582101212e-06
"1.10","CDMPv535_ABMI",3606,3610,1,0.0909090909090909,0.0181105928055902,4.98900960982207e-06
"1.11","CDMPv535_ABMI",3606,3610,1,0.101010101010101,0.0258632184422701,2.26114830661631e-05
"1.12","CDMPv535_ABMI",3606,3610,1,0.111111111111111,0.0362888188721103,9.37912072121982e-05
"1.13","CDMPv535_ABMI",3606,3610,1,0.121212121212121,0.0500458566785822,0.00035809723615764
"1.14","CDMPv535_ABMI",3606,3610,1,0.131313131313131,0.0679351966887795,0.00124561337947771
"1.15","CDMPv535_ABMI",3606,3610,1,0.141414141414141,0.0907250514838181,0.00395150500221596
"1.16","CDMPv535_ABMI",3606,3610,1,0.151515151515152,0.119143528727501,0.0114404357582658
"1.17","CDMPv535_ABMI",3606,3610,1,0.161616161616162,0.15390735770175,0.0302426301972826
"1.18","CDMPv535_ABMI",3606,3610,1,0.171717171717172,0.195790266256414,0.0730179462965282
"1.19","CDMPv535_ABMI",3606,3610,1,0.181818181818182,0.245073609576269,0.161066668528547
