"","database_id","target_id","comparator_id","analysis_id","covariate_id","coefficient"
"6.4","CDMPv535_ABMI",3606,3610,6,8532001,0.14864288402926
"6.5","CDMPv535_ABMI",3606,3610,6,8003,0.122276988098147
"6.6","CDMPv535_ABMI",3606,3610,6,9003,0.0713908354311832
"6.7","CDMPv535_ABMI",3606,3610,6,316866210,-0.055779859819091
"6.8","CDMPv535_ABMI",3606,3610,6,255848210,-0.0189321860684379
"7.1","CDMPv535_ABMI",3606,3610,7,0,-3.66080266179962
"7.2","CDMPv535_ABMI",3606,3610,7,259848210,1.59572250327087
"7.3","CDMPv535_ABMI",3606,3610,7,765431210,1.37049856660123
"7.4","CDMPv535_ABMI",3606,3610,7,4320791210,0.969521168949407
"7.5","CDMPv535_ABMI",3606,3610,7,9003,0.302210731674525
"7.6","CDMPv535_ABMI",3606,3610,7,8003,0.277119950479063
"7.7","CDMPv535_ABMI",3606,3610,7,432867210,0.234068305286639
"7.8","CDMPv535_ABMI",3606,3610,7,8532001,0.224104591957164
"7.9","CDMPv535_ABMI",3606,3610,7,7003,-0.107474044766376
"7.10","CDMPv535_ABMI",3606,3610,7,133834210,0.0706482692832205
"7.11","CDMPv535_ABMI",3606,3610,7,4003,-0.0114698418944379
"7.12","CDMPv535_ABMI",3606,3610,7,318800210,-0.00501958232505103
"7.13","CDMPv535_ABMI",3606,3610,7,42596380210,0.00261023982868617
"7.14","CDMPv535_ABMI",3606,3610,7,4144111210,-0.00200959402654499
"8.1","CDMPv535_ABMI",3606,3610,8,0,-2.76122520917733
"8.2","CDMPv535_ABMI",3606,3610,8,259848210,1.42850818563943
"8.3","CDMPv535_ABMI",3606,3610,8,4320791210,1.38631961425506
"8.4","CDMPv535_ABMI",3606,3610,8,8532001,0.14864288402926
"8.5","CDMPv535_ABMI",3606,3610,8,8003,0.122276988098147
"8.6","CDMPv535_ABMI",3606,3610,8,9003,0.0713908354311832
"8.7","CDMPv535_ABMI",3606,3610,8,316866210,-0.055779859819091
"8.8","CDMPv535_ABMI",3606,3610,8,255848210,-0.0189321860684379
"9.1","CDMPv535_ABMI",3606,3610,9,0,-2.76122520917733
"9.2","CDMPv535_ABMI",3606,3610,9,259848210,1.42850818563943
